	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
			(0.0831)	(0.0831)			(0.0925)	(0.0925)			(0.0811)	(0.0811)			(0.103)	(0.103)			(0.119)	(0.119)			(0.114)	(0.114)			(0.115)	(0.115)			(0.0977)	(0.0976)			(0.0917)	(0.0918)			(0.0842)	(0.0839)			(0.102)	(0.102)			(0.119)	(0.119)			(0.107)	(0.107)			(0.137)	(0.136)
height		0.497	0.483	0.483		0.170	0.175	0.175		0.135	0.0828	0.0828		-0.276	-0.211	-0.211		1.008*	1.067*	1.067*		-0.0140	0.0568	0.0568		0.0586	0.00278	0.00278		0.0463	-0.0339	-0.0315		-0.244	-0.339	-0.335		-0.376	-0.501	-0.489		0.359	0.313	0.313		0.575	0.560	0.571		-0.0285	-0.0121	0.000964		-0.245	-0.267	-0.282
		(0.402)	(0.385)	(0.385)		(0.472)	(0.455)	(0.455)		(0.370)	(0.367)	(0.367)		(0.442)	(0.446)	(0.446)		(0.556)	(0.552)	(0.552)		(0.537)	(0.538)	(0.538)		(0.443)	(0.441)	(0.441)		(0.456)	(0.454)	(0.454)		(0.498)	(0.485)	(0.484)		(0.417)	(0.412)	(0.407)		(0.443)	(0.438)	(0.438)		(0.534)	(0.531)	(0.530)		(0.525)	(0.524)	(0.524)		(0.538)	(0.537)	(0.533)
daily_cig_before_preg		-0.00867*	-0.00265	-0.00265		-0.00480	-0.000886	-0.000886		-0.00759*	-0.00264	-0.00264		-0.0125***	-0.00763	-0.00763		-0.00120	-0.00187	-0.00187		0.00703	0.00644	0.00644		0.00140	0.00398	0.00398		-0.0161***	-0.0117**	-0.0119**		-0.0127**	-0.00778	-0.00832*		-0.0132***	-0.00847*	-0.0104**		-0.0177***	-0.0129***	-0.0129***		0.00362	0.00652	0.00502		0.00937*	0.0107*	0.00895		-0.00330	-0.00185	0.000113
		(0.00448)	(0.00452)	(0.00452)		(0.00484)	(0.00499)	(0.00499)		(0.00393)	(0.00400)	(0.00400)		(0.00452)	(0.00469)	(0.00469)		(0.00535)	(0.00553)	(0.00553)		(0.00550)	(0.00573)	(0.00573)		(0.00507)	(0.00512)	(0.00512)		(0.00491)	(0.00505)	(0.00505)		(0.00494)	(0.00495)	(0.00494)		(0.00435)	(0.00434)	(0.00430)		(0.00477)	(0.00495)	(0.00500)		(0.00543)	(0.00543)	(0.00550)		(0.00543)	(0.00561)	(0.00570)		(0.00454)	(0.00458)	(0.00463)
weekly_alcohol_b_preg		-0.00572	-0.00611	-0.00611		-0.00384	-0.00330	-0.00330		-0.00317	-0.00277	-0.00277		-0.00422	-0.00403	-0.00403		0.00585	0.00572	0.00572		-0.00101	-0.00181	-0.00181		0.00301	0.00314	0.00314		-0.00133	-0.00134	-0.00133		-0.00162	-0.00220	-0.00207		-0.00790*	-0.00889**	-0.00847**		0.000199	-8.00e-05	-7.14e-05		0.00113	0.00118	0.00153		-0.00112	-0.000770	-0.000357		0.00121	0.00119	0.000738
		(0.00406)	(0.00423)	(0.00423)		(0.00521)	(0.00500)	(0.00500)		(0.00418)	(0.00399)	(0.00399)		(0.00464)	(0.00441)	(0.00441)		(0.00499)	(0.00503)	(0.00503)		(0.00594)	(0.00614)	(0.00614)		(0.00624)	(0.00606)	(0.00606)		(0.00354)	(0.00350)	(0.00350)		(0.00375)	(0.00362)	(0.00364)		(0.00409)	(0.00371)	(0.00368)		(0.00374)	(0.00356)	(0.00357)		(0.00478)	(0.00461)	(0.00457)		(0.00591)	(0.00595)	(0.00586)		(0.00566)	(0.00553)	(0.00565)
complications_during_preg		-0.0620	-0.0593	-0.0593		-0.00916	-0.0104	-0.0104		-0.0684	-0.0597	-0.0597		-0.0703	-0.0769	-0.0769		0.00436	0.000396	0.000396		0.0633	0.0571	0.0571		0.00221	0.00986	0.00986		-0.00816	-0.0221	-0.0231		0.0490	0.0392	0.0368		-0.131**	-0.137**	-0.146**		0.0327	-0.00256	-0.00272		0.127*	0.128*	0.122		0.108	0.103	0.0948		0.0344	0.0553	0.0639
		(0.0619)	(0.0594)	(0.0594)		(0.0654)	(0.0650)	(0.0650)		(0.0603)	(0.0590)	(0.0590)		(0.0681)	(0.0667)	(0.0667)		(0.0757)	(0.0759)	(0.0759)		(0.0740)	(0.0745)	(0.0745)		(0.0618)	(0.0616)	(0.0616)		(0.0624)	(0.0614)	(0.0614)		(0.0642)	(0.0635)	(0.0638)		(0.0599)	(0.0593)	(0.0593)		(0.0636)	(0.0623)	(0.0622)		(0.0735)	(0.0743)	(0.0744)		(0.0731)	(0.0735)	(0.0735)		(0.0776)	(0.0767)	(0.0764)
Constant	15.79	16.20	11.89	11.89	29.75*	29.52*	25.14	25.14	21.31	21.42	16.07	16.07	8.198	8.862	5.764	5.764	-7.667	-10.01	-8.618	-8.618	-8.856	-9.411	-9.896	-9.896	13.11	12.54	9.745	9.745	18.78	19.25	17.73	17.86	38.18**	39.97**	34.55**	34.82**	37.86***	39.61***	36.16***	37.19***	12.21	13.53	8.869	8.693	-32.44**	-33.68**	-34.53**	-33.86**	-34.20**	-35.04**	-35.14**	-34.34**	27.58	28.46	29.58	28.69
	(16.09)	(16.37)	(16.59)	(16.59)	(17.51)	(17.75)	(18.42)	(18.42)	(13.99)	(14.02)	(13.84)	(13.84)	(17.01)	(17.17)	(17.63)	(17.63)	(15.08)	(15.12)	(15.52)	(15.52)	(14.76)	(14.89)	(14.77)	(14.77)	(11.12)	(11.07)	(11.08)	(11.08)	(13.22)	(13.21)	(12.99)	(12.98)	(16.74)	(16.88)	(16.93)	(16.91)	(13.77)	(13.80)	(13.48)	(13.43)	(14.93)	(14.86)	(14.83)	(14.80)	(16.09)	(16.27)	(15.69)	(15.81)	(16.12)	(16.11)	(15.60)	(15.67)	(18.78)	(18.85)	(18.49)	(18.38)
																																																								
Observations	1,142	1,142	1,142	1,142	1,081	1,081	1,081	1,081	1,064	1,064	1,064	1,064	1,074	1,074	1,074	1,074	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,145	1,145	1,145	1,145	1,079	1,079	1,079	1,079	1,066	1,066	1,066	1,066	1,076	1,076	1,076	1,076	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088
R-squared	0.125	0.133	0.184	0.184	0.105	0.107	0.132	0.132	0.182	0.188	0.217	0.217	0.089	0.101	0.131	0.131	0.059	0.064	0.071	0.071	0.072	0.076	0.083	0.083	0.071	0.072	0.087	0.087	0.127	0.141	0.168	0.168	0.160	0.169	0.207	0.207	0.199	0.218	0.255	0.262	0.129	0.146	0.179	0.179	0.095	0.100	0.118	0.121	0.096	0.102	0.112	0.117	0.059	0.060	0.075	0.081
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
