	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
			(0.267)	(0.267)			(0.272)	(0.272)			(0.225)	(0.225)			(0.322)	(0.322)			(0.264)	(0.264)			(0.290)	(0.290)			(0.400)	(0.400)			(0.317)	(0.316)			(0.327)	(0.328)			(0.283)	(0.287)			(0.335)	(0.337)			(0.255)	(0.260)			(0.251)	(0.249)			(0.342)	(0.342)
_inc2			-0.224***	-0.224***			-0.146*	-0.146*			-0.247***	-0.247***			-0.249***	-0.249***			-0.0976	-0.0976			-0.0149	-0.0149			-0.0549	-0.0549			-0.275***	-0.271***			-0.233***	-0.234***			-0.337***	-0.334***			-0.121	-0.123			-0.0749	-0.0726			0.152*	0.157*			-0.0920	-0.0900
			(0.0805)	(0.0805)			(0.0753)	(0.0753)			(0.0745)	(0.0745)			(0.0782)	(0.0782)			(0.0789)	(0.0789)			(0.0809)	(0.0809)			(0.0833)	(0.0833)			(0.0810)	(0.0812)			(0.0865)	(0.0865)			(0.0818)	(0.0820)			(0.0874)	(0.0873)			(0.0893)	(0.0893)			(0.0845)	(0.0841)			(0.0994)	(0.0996)
_inc3			-0.198***	-0.198***			-0.0274	-0.0274			-0.190***	-0.190***			-0.174**	-0.174**			-0.162**	-0.162**			-0.0500	-0.0500			-0.135*	-0.135*			-0.326***	-0.324***			-0.211***	-0.212***			-0.334***	-0.331***			-0.158**	-0.160**			-0.0329	-0.0307			0.0511	0.0556			-0.223***	-0.221***
			(0.0687)	(0.0687)			(0.0666)	(0.0666)			(0.0659)	(0.0659)			(0.0722)	(0.0722)			(0.0732)	(0.0732)			(0.0719)	(0.0719)			(0.0715)	(0.0715)			(0.0734)	(0.0734)			(0.0778)	(0.0778)			(0.0754)	(0.0754)			(0.0767)	(0.0766)			(0.0830)	(0.0830)			(0.0757)	(0.0753)			(0.0840)	(0.0842)
_inc4			-0.0663	-0.0663			-0.0498	-0.0498			-0.0462	-0.0462			-0.0313	-0.0313			0.0296	0.0296			-0.0785	-0.0785			-0.0226	-0.0226			-0.203***	-0.204***			-0.141**	-0.140**			-0.141**	-0.143**			-0.0625	-0.0612			0.0721	0.0706			0.0120	0.00877			-0.0927	-0.0940
			(0.0578)	(0.0578)			(0.0526)	(0.0526)			(0.0526)	(0.0526)			(0.0568)	(0.0568)			(0.0645)	(0.0645)			(0.0615)	(0.0615)			(0.0693)	(0.0693)			(0.0683)	(0.0681)			(0.0705)	(0.0704)			(0.0710)	(0.0707)			(0.0715)	(0.0715)			(0.0788)	(0.0785)			(0.0720)	(0.0714)			(0.0893)	(0.0892)
_inc6			0.0990**	0.0990**			0.0944*	0.0944*			0.0247	0.0247			-0.0229	-0.0229			-0.0812	-0.0812			-0.104*	-0.104*			0.0572	0.0572			0.0213	0.0179			0.184***	0.185***			0.157**	0.153**			0.0712	0.0740			-0.0728	-0.0761			-0.00467	-0.0117			-0.0246	-0.0275
			(0.0480)	(0.0480)			(0.0499)	(0.0499)			(0.0485)	(0.0485)			(0.0567)	(0.0567)			(0.0611)	(0.0611)			(0.0575)	(0.0575)			(0.0658)	(0.0658)			(0.0669)	(0.0666)			(0.0670)	(0.0670)			(0.0677)	(0.0678)			(0.0752)	(0.0750)			(0.0811)	(0.0814)			(0.0748)	(0.0749)			(0.0933)	(0.0931)
height		0.563*	0.394	0.394		0.358	0.166	0.166		0.640**	0.443*	0.443*		0.484*	0.289	0.289		-0.0717	-0.0610	-0.0610		0.142	0.193	0.193		0.0679	0.0132	0.0132		0.663**	0.378	0.385		0.161	-0.0971	-0.102		0.696**	0.411	0.423		0.677**	0.466	0.459		0.349	0.328	0.336		0.204	0.235	0.250		-0.313	-0.410	-0.404
		(0.289)	(0.279)	(0.279)		(0.276)	(0.268)	(0.268)		(0.269)	(0.263)	(0.263)		(0.275)	(0.268)	(0.268)		(0.298)	(0.297)	(0.297)		(0.291)	(0.290)	(0.290)		(0.297)	(0.297)	(0.297)		(0.329)	(0.318)	(0.318)		(0.339)	(0.338)	(0.338)		(0.329)	(0.326)	(0.325)		(0.318)	(0.312)	(0.311)		(0.344)	(0.346)	(0.346)		(0.337)	(0.332)	(0.333)		(0.353)	(0.350)	(0.350)
