	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																
		(0.0568)	(0.0557)	(0.0557)		(0.0547)	(0.0535)	(0.0535)		(0.0620)	(0.0602)	(0.0602)		(0.0552)	(0.0535)	(0.0535)		(0.0694)	(0.0668)	(0.0666)		(0.0687)	(0.0687)	(0.0687)		(0.0708)	(0.0698)	(0.0696)		(0.0687)	(0.0673)	(0.0673)
miss_height		1.431**	1.078	1.078		1.047	0.571	0.571		2.828***	2.304***	2.304***		2.146***	1.633**	1.633**		1.459*	0.859	0.969		0.363	-0.255	-0.305		2.432**	1.805**	1.901**		1.346	0.763	0.713
		(0.712)	(0.694)	(0.694)		(0.705)	(0.697)	(0.697)		(0.885)	(0.832)	(0.832)		(0.749)	(0.714)	(0.714)		(0.853)	(0.810)	(0.805)		(0.871)	(0.853)	(0.857)		(0.945)	(0.915)	(0.914)		(0.862)	(0.824)	(0.822)
miss_daily_cig_before_preg		-0.900***	-1.015***	-1.015***		-0.0275	-0.104	-0.104		-0.392	-0.535	-0.535		-0.0307	-0.132	-0.132		-0.0355	0.0274	0.0161		1.088**	0.922*	0.929*		0.161	0.0142	0.000232		0.568	0.496	0.503
		(0.194)	(0.186)	(0.186)		(0.552)	(0.522)	(0.522)		(0.448)	(0.354)	(0.354)		(0.552)	(0.526)	(0.526)		(0.280)	(0.287)	(0.278)		(0.427)	(0.483)	(0.486)		(0.407)	(0.389)	(0.390)		(0.522)	(0.523)	(0.529)
miss_weekly_alcohol_b_preg		0.301	0.398	0.398		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0.442)	(0.404)	(0.404)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	24.76**	23.67**	23.20**	23.20**	34.92***	34.27***	30.67***	30.67***	26.12*	23.53*	21.44*	21.44*	16.50*	17.65*	11.03	11.03	22.92	20.86	19.23	19.07	9.542	8.739	5.094	5.182	12.41	10.23	7.934	7.891	10.68	7.081	4.079	4.080
	(10.56)	(9.855)	(9.413)	(9.413)	(11.24)	(11.18)	(10.89)	(10.89)	(14.20)	(13.09)	(12.37)	(12.37)	(8.666)	(10.47)	(7.881)	(7.881)	(16.40)	(15.02)	(14.67)	(14.58)	(14.33)	(14.17)	(13.91)	(13.93)	(17.34)	(16.08)	(15.91)	(15.90)	(15.39)	(14.92)	(14.46)	(14.48)
																																
Observations	1,868	1,868	1,868	1,868	1,708	1,708	1,708	1,708	1,688	1,688	1,688	1,688	1,704	1,704	1,704	1,704	1,428	1,428	1,428	1,428	1,293	1,293	1,293	1,293	1,273	1,273	1,273	1,273	1,287	1,287	1,287	1,287
R-squared	0.140	0.150	0.177	0.177	0.148	0.150	0.189	0.189	0.158	0.169	0.210	0.210	0.137	0.148	0.194	0.194	0.128	0.142	0.200	0.208	0.142	0.152	0.190	0.191	0.191	0.201	0.246	0.249	0.125	0.135	0.174	0.175
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
