	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
		(0.00323)	(0.00319)	(0.00319)		(0.00375)	(0.00361)	(0.00361)		(0.00355)	(0.00339)	(0.00339)		(0.00414)	(0.00406)	(0.00406)		(0.00379)	(0.00375)	(0.00375)		(0.00382)	(0.00385)	(0.00385)		(0.00431)	(0.00432)	(0.00432)		(0.00256)	(0.00250)	(0.00250)		(0.00273)	(0.00266)	(0.00266)		(0.00295)	(0.00286)	(0.00285)		(0.00304)	(0.00304)	(0.00305)		(0.00265)	(0.00266)	(0.00267)		(0.00282)	(0.00286)	(0.00284)		(0.00416)	(0.00405)	(0.00405)
complications_during_preg		-0.0403	-0.0372	-0.0372		-0.0657	-0.0637	-0.0637		-0.0512	-0.0451	-0.0451		-0.0581	-0.0581	-0.0581		0.0634	0.0581	0.0581		0.116**	0.112**	0.112**		-0.00307	-0.00203	-0.00203		0.00520	-0.00813	-0.00936		-0.00509	-0.00432	-0.00381		-0.0850*	-0.0849*	-0.0869*		-0.0511	-0.0598	-0.0574		0.0846*	0.0782	0.0728		0.106**	0.108**	0.100**		0.0412	0.0419	0.0416
		(0.0435)	(0.0425)	(0.0425)		(0.0465)	(0.0461)	(0.0461)		(0.0448)	(0.0438)	(0.0438)		(0.0479)	(0.0473)	(0.0473)		(0.0506)	(0.0508)	(0.0508)		(0.0492)	(0.0494)	(0.0494)		(0.0515)	(0.0521)	(0.0521)		(0.0454)	(0.0444)	(0.0444)		(0.0484)	(0.0477)	(0.0477)		(0.0462)	(0.0455)	(0.0456)		(0.0483)	(0.0479)	(0.0478)		(0.0507)	(0.0510)	(0.0510)		(0.0487)	(0.0488)	(0.0486)		(0.0543)	(0.0536)	(0.0538)
Constant	6.560	5.135	4.161	4.161	8.933	8.184	7.663	7.663	14.59*	13.86*	13.03	13.03	-4.478	-5.592	-5.911	-5.911	-1.736	-1.795	-3.204	-3.204	-6.102	-5.088	-5.471	-5.471	6.317	4.247	4.635	4.635	11.42	11.27	10.67	10.56	9.606	10.03	9.053	9.076	23.34**	23.96**	23.66**	23.51**	-4.670	-6.045	-6.812	-6.605	-4.640	-6.501	-5.726	-6.505	-21.50*	-22.68*	-22.45*	-23.51*	20.93	21.40	22.13	22.10
	(8.880)	(9.024)	(8.802)	(8.802)	(10.20)	(10.27)	(10.08)	(10.08)	(8.010)	(7.988)	(8.060)	(8.060)	(8.651)	(8.791)	(8.952)	(8.952)	(13.56)	(13.63)	(13.32)	(13.32)	(12.86)	(12.91)	(12.85)	(12.85)	(13.41)	(13.42)	(13.23)	(13.23)	(9.444)	(9.599)	(9.264)	(9.279)	(12.08)	(12.12)	(11.71)	(11.71)	(10.21)	(10.09)	(9.804)	(9.756)	(10.49)	(10.53)	(10.24)	(10.24)	(14.08)	(14.20)	(13.92)	(13.91)	(12.63)	(12.76)	(12.65)	(12.54)	(14.78)	(15.00)	(14.94)	(14.95)
																																																								
Observations	2,393	2,393	2,393	2,393	2,246	2,246	2,246	2,246	2,214	2,214	2,214	2,214	2,233	2,233	2,233	2,233	2,277	2,277	2,277	2,277	2,277	2,277	2,277	2,277	2,277	2,277	2,277	2,277	2,372	2,372	2,372	2,372	2,213	2,213	2,213	2,213	2,180	2,180	2,180	2,180	2,200	2,200	2,200	2,200	2,246	2,246	2,246	2,246	2,246	2,246	2,246	2,246	2,246	2,246	2,246	2,246
R-squared	0.111	0.117	0.152	0.152	0.072	0.076	0.109	0.109	0.136	0.143	0.178	0.178	0.072	0.074	0.099	0.099	0.036	0.038	0.048	0.048	0.052	0.056	0.061	0.061	0.040	0.042	0.048	0.048	0.102	0.107	0.142	0.142	0.102	0.105	0.143	0.143	0.167	0.180	0.222	0.223	0.083	0.091	0.112	0.113	0.056	0.061	0.070	0.074	0.068	0.074	0.077	0.085	0.028	0.029	0.037	0.037
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
