="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="_inc3",="",="",="0.0306**",="0.0309**",="0.0275*",="",="",="0.0301**",="0.0275*"
="",="",="",="(0.0145)",="(0.0146)",="(0.0144)",="",="",="(0.0142)",="(0.0144)"

="_inc4",="",="",="0.00399",="0.00477",="0.00177",="",="",="0.00417",="0.00186"
="",="",="",="(0.00965)",="(0.00969)",="(0.0101)",="",="",="(0.00970)",="(0.0101)"

="_inc6",="",="",="-0.0210**",="-0.0203**",="-0.0220**",="",="",="-0.0201**",="-0.0221**"
="",="",="",="(0.00866)",="(0.00861)",="(0.00881)",="",="",="(0.00860)",="(0.00883)"

="height",="",="",="",="-0.0169",="-0.0103",="-0.0214",="-0.0155",="-0.00997",="-0.0110"
="",="",="",="",="(0.0397)",="(0.0387)",="(0.0401)",="(0.0395)",="(0.0392)",="(0.0386)"

="daily_cig_before_preg",="",="",="",="0.0000411",="0.000101",="0.000148",="0.000222",="0.000142",="0.000105"
="",="",="",="",="(0.000387)",="(0.000398)",="(0.000381)",="(0.000386)",="(0.000388)",="(0.000389)"

="weekly_alcohol_b_preg",="",="",="",="0.000422",="0.000376",="0.000393",="0.000415",="0.000456",="0.000370"
="",="",="",="",="(0.000497)",="(0.000502)",="(0.000497)",="(0.000496)",="(0.000495)",="(0.000500)"

="complications_during_preg",="",="",="",="0.00929",="0.0103",="0.00956",="0.00928",="0.00910",="0.0101"
="",="",="",="",="(0.00658)",="(0.00656)",="(0.00661)",="(0.00659)",="(0.00657)",="(0.00655)"

="miss_height",="",="",="",="-0.0204",="-0.0100",="-0.0239",="-0.0167",="-0.0123",="-0.0163"
="",="",="",="",="(0.0702)",="(0.0677)",="(0.0709)",="(0.0700)",="(0.0694)",="(0.0684)"

="miss_daily_cig_before_preg",="",="",="",="-0.00961",="-0.0156",="-0.0124",="-0.0101",="-0.00655",="-0.0171"
="",="",="",="",="(0.0216)",="(0.0134)",="(0.0168)",="(0.0159)",="(0.0202)",="(0.0144)"

="miss_weekly_alcohol_b_preg",="",="",="",="-0.118",="0.0201",="-0.112",="0.0169",="0.00955",="0.0189"
="",="",="",="",="(0.0850)",="(0.0202)",="(0.0837)",="(0.0214)",="(0.0246)",="(0.0211)"

="miss_complications_during_preg",="",="",="",="0",="0",="0",="0",="0",="0"
="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="_cons",="-0.00200",="3.206**",="3.093**",="3.024**",="-0.217",="3.168**",="3.177**",="3.044**",="-0.321"
="",="(0.0257)",="(1.402)",="(1.342)",="(1.382)",="(0.375)",="(1.415)",="(1.403)",="(1.370)",="(0.384)"

="N",="6098",="6098",="6098",="6098",="6098",="6098",="6098",="6098",="6098"
="R-sq",="0.036",="0.040",="0.050",="0.055",="0.024",="0.046",="0.041",="0.050",="0.027"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
