="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="(0.0138)",="(0.0152)",="(0.0167)",="(0.0131)",="",="(0.0156)",="",="",=""

="_eth6",="0.0217",="0.0290*",="0.0155",="-0.00575",="",="0.00708",="",="",=""
="",="(0.0159)",="(0.0171)",="(0.0190)",="(0.0146)",="",="(0.0188)",="",="",=""

="_eth7",="0.0350",="0.0448*",="0.0335",="0.0154",="",="0.0271",="",="",=""
="",="(0.0225)",="(0.0233)",="(0.0237)",="(0.0205)",="",="(0.0238)",="",="",=""

="_eth8",="0.0666**",="0.0739**",="0.0800*",="0.0674",="",="0.0806*",="",="",=""
="",="(0.0329)",="(0.0334)",="(0.0435)",="(0.0451)",="",="(0.0467)",="",="",=""

="_eth9",="0.0315**",="0.0343**",="0.0162",="0",="",="0.00756",="",="",=""
="",="(0.0156)",="(0.0173)",="(0.0183)",="(.)",="",="(0.0181)",="",="",=""

="_eth10",="0",="0",="0",="-0.0143",="",="0",="",="",=""
="",="(.)",="(.)",="(.)",="(0.0206)",="",="(.)",="",="",=""

="_eth11",="0.0200",="0.0211",="0.0125",="-0.00890",="",="-0.000604",="",="",=""
="",="(0.0131)",="(0.0145)",="(0.0155)",="(0.0132)",="",="(0.0142)",="",="",=""

="motherage",="",="-0.146",="-0.112",="-0.108",="0.0326",="-0.135",="-0.134",="-0.109",="0.0325"
="",="",="(0.124)",="(0.131)",="(0.136)",="(0.0487)",="(0.141)",="(0.139)",="(0.134)",="(0.0488)"

="motheragesq",="",="0.00571",="0.00447",="0.00431",="-0.00116",="0.00533",="0.00530",="0.00434",="-0.00116"
="",="",="(0.00469)",="(0.00495)",="(0.00513)",="(0.00179)",="(0.00530)",="(0.00524)",="(0.00505)",="(0.00179)"

="motheragecub",="",="-0.0000712",="-0.0000580",="-0.0000563",="0.0000138",="-0.0000683",="-0.0000681",="-0.0000568",="0.0000137"
="",="",="(0.0000554)",="(0.0000583)",="(0.0000603)",="(0.0000211)",="(0.0000623)",="(0.0000616)",="(0.0000594)",="(0.0000211)"

="agefirstbirth",="",="0.00163*",="0.00259**",="0.00264**",="0.00270**",="0.00181*",="0.00169",="0.00254**",="0.00269**"
="",="",="(0.000845)",="(0.00115)",="(0.00115)",="(0.00115)",="(0.00105)",="(0.00104)",="(0.00114)",="(0.00115)"

="_mother_edu1",="",="",="0.0119",="0.0122",="0.0161",="0.0156",="0.0181",="0.0159",="0.0166"
="",="",="",="(0.0169)",="(0.0175)",="(0.0170)",="(0.0177)",="(0.0171)",="(0.0171)",="(0.0170)"

="_mother_edu2",="",="",="0.00357",="0.00187",="0.00581",="0.00355",="0.00691",="0.00642",="0.00583"
="",="",="",="(0.0131)",="(0.0136)",="(0.0130)",="(0.0130)",="(0.0124)",="(0.0135)",="(0.0130)"

="_mother_edu3",="",="",="0.0169",="0.0162",="0.0174",="0.0158",="0.0193",="0.0206",="0.0169"
="",="",="",="(0.0166)",="(0.0169)",="(0.0155)",="(0.0165)",="(0.0161)",="(0.0169)",="(0.0157)"

="_mother_edu4",="",="",="0.0135",="0.0116",="0.0162",="0.00487",="0.00861",="0.0163",="0.0162"
="",="",="",="(0.0142)",="(0.0147)",="(0.0143)",="(0.0137)",="(0.0132)",="(0.0145)",="(0.0145)"

="_mother_edu5",="",="",="0.00439",="0.00297",="0.00707",="-0.0114",="-0.00816",="0.00643",="0.00661"
="",="",="",="(0.0192)",="(0.0194)",="(0.0187)",="(0.0190)",="(0.0184)",="(0.0190)",="(0.0185)"

="_inc1",="",="",="0.0287**",="0.0292**",="0.0266**",="",="",="0.0281**",="0.0270**"
="",="",="",="(0.0125)",="(0.0130)",="(0.0123)",="",="",="(0.0123)",="(0.0123)"

="_inc2",="",="",="0.0521***",="0.0531***",="0.0509***",="",="",="0.0525***",="0.0514***"
="",="",="",="(0.0156)",="(0.0162)",="(0.0158)",="",="",="(0.0158)",="(0.0160)"

="_inc3",="",="",="0.0280***",="0.0280***",="0.0273***",="",="",="0.0279***",="0.0276***"
="",="",="",="(0.00935)",="(0.00939)",="(0.00974)",="",="",="(0.00938)",="(0.00978)"

="_inc4",="",="",="0.0218**",="0.0208**",="0.0225**",="",="",="0.0207**",="0.0228**"
="",="",="",="(0.00880)",="(0.00875)",="(0.00888)",="",="",="(0.00872)",="(0.00890)"

="height",="",="",="",="-0.0234",="-0.0110",="-0.0263",="-0.0179",="-0.0137",="-0.0117"
="",="",="",="",="(0.0462)",="(0.0439)",="(0.0466)",="(0.0450)",="(0.0448)",="(0.0438)"

="daily_cig_before_preg",="",="",="",="-0.000508",="-0.000505",="-0.000227",="-0.000233",="-0.000485",="-0.000499"
="",="",="",="",="(0.000386)",="(0.000366)",="(0.000375)",="(0.000362)",="(0.000367)",="(0.000364)"

="weekly_alcohol_b_preg",="",="",="",="0.000412",="0.000365",="0.000367",="0.000358",="0.000418",="0.000355"
="",="",="",="",="(0.000612)",="(0.000612)",="(0.000613)",="(0.000604)",="(0.000603)",="(0.000609)"

="complications_during_preg",="",="",="",="0.0142*",="0.0149**",="0.0158**",="0.0157**",="0.0141*",="0.0148**"
="",="",="",="",="(0.00730)",="(0.00722)",="(0.00734)",="(0.00731)",="(0.00726)",="(0.00721)"

="_cons",="-0.0484**",="2.913**",="2.584*",="0.796",="-0.378",="2.979*",="3.000*",="2.643*",="-0.378"
="",="(0.0212)",="(1.454)",="(1.535)",="(1.111)",="(0.445)",="(1.647)",="(1.624)",="(1.577)",="(0.447)"

="N",="5384",="5384",="4808",="4767",="4780",="4784",="4794",="4777",="4780"
="R-sq",="0.034",="0.036",="0.050",="0.053",="0.024",="0.045",="0.042",="0.051",="0.025"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
