="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"

="_mother_edu3",="",="",="0.0157",="0.0120",="0.0150",="0.00916",="0.00549",="0.0101",="0.0136"
="",="",="",="(0.0184)",="(0.0183)",="(0.0169)",="(0.0180)",="(0.0159)",="(0.0166)",="(0.0168)"

="_mother_edu4",="",="",="0.0138",="0.00946",="0.0117",="0.00422",="0.000932",="0.00813",="0.0107"
="",="",="",="(0.0175)",="(0.0175)",="(0.0159)",="(0.0167)",="(0.0146)",="(0.0157)",="(0.0159)"

="_mother_edu5",="",="",="-0.0113",="-0.0157",="-0.0118",="-0.0220",="-0.0259*",="-0.0174",="-0.0131"
="",="",="",="(0.0183)",="(0.0184)",="(0.0166)",="(0.0174)",="(0.0154)",="(0.0167)",="(0.0166)"

="_inc1",="",="",="0.0115",="0.0107",="0.0133",="",="",="0.0137",="0.0134"
="",="",="",="(0.0128)",="(0.0126)",="(0.0131)",="",="",="(0.0136)",="(0.0131)"

="_inc2",="",="",="0.0259*",="0.0272**",="0.0280**",="",="",="0.0289**",="0.0272**"
="",="",="",="(0.0133)",="(0.0131)",="(0.0134)",="",="",="(0.0130)",="(0.0134)"

="_inc3",="",="",="0.00986",="0.00976",="0.0110",="",="",="0.0108",="0.0107"
="",="",="",="(0.0117)",="(0.0116)",="(0.0115)",="",="",="(0.0116)",="(0.0116)"

="_inc4",="",="",="0.00347",="0.00477",="0.00622",="",="",="0.00587",="0.00598"
="",="",="",="(0.00983)",="(0.00968)",="(0.00993)",="",="",="(0.00970)",="(0.00993)"

="height",="",="",="",="0.0932",="0.0867",="0.108",="0.111*",="0.0986",="0.0880"
="",="",="",="",="(0.0639)",="(0.0660)",="(0.0656)",="(0.0672)",="(0.0651)",="(0.0661)"

="daily_cig_before_preg",="",="",="",="-0.0000302",="-0.0000733",="0.000333",="0.000273",="-0.0000905",="-0.0000969"
