="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="(0.0295)",="(0.0297)",="(0.0328)",="(0.0333)",="",="(0.0332)",="",="",=""

="_eth8",="0.0455",="0.0512",="0.0689*",="0.0764*",="",="0.0788*",="",="",=""
="",="(0.0315)",="(0.0316)",="(0.0411)",="(0.0449)",="",="(0.0445)",="",="",=""

="_eth9",="0",="0",="0",="0.00174",="",="-0.00333",="",="",=""
="",="(.)",="(.)",="(.)",="(0.0124)",="",="(0.0101)",="",="",=""

="_eth10",="-0.0155*",="-0.0144*",="-0.00744",="0",="",="0",="",="",=""
="",="(0.00820)",="(0.00864)",="(0.0108)",="(.)",="",="(.)",="",="",=""

="_eth11",="-0.00407",="-0.00110",="0.00343",="0.00696",="",="0.00327",="",="",=""
="",="(0.00730)",="(0.00737)",="(0.00907)",="(0.00989)",="",="(0.00755)",="",="",=""

="motherage",="",="-0.119",="-0.0951",="-0.124",="0.0286",="-0.143",="-0.137",="-0.120",="0.0293"
="",="",="(0.0863)",="(0.0925)",="(0.0905)",="(0.0487)",="(0.0931)",="(0.0924)",="(0.0898)",="(0.0488)"

="motheragesq",="",="0.00486",="0.00412",="0.00507",="-0.000982",="0.00578*",="0.00558",="0.00494",="-0.00100"
="",="",="(0.00323)",="(0.00341)",="(0.00336)",="(0.00178)",="(0.00347)",="(0.00344)",="(0.00333)",="(0.00178)"

="motheragecub",="",="-0.0000621",="-0.0000560",="-0.0000661*",="0.0000112",="-0.0000740*",="-0.0000716*",="-0.0000643*",="0.0000114"
="",="",="(0.0000381)",="(0.0000395)",="(0.0000391)",="(0.0000209)",="(0.0000404)",="(0.0000400)",="(0.0000386)",="(0.0000209)"

="agefirstbirth",="",="0.00138**",="0.00223***",="0.00220***",="0.00237***",="0.00167**",="0.00154*",="0.00211**",="0.00239***"
="",="",="(0.000660)",="(0.000827)",="(0.000840)",="(0.000870)",="(0.000820)",="(0.000808)",="(0.000831)",="(0.000867)"

="_mother_edu1",="",="",="0.0110",="0.0107",="0.0136",="0.0117",="0.0119",="0.0122",="0.0139"
="",="",="",="(0.0156)",="(0.0161)",="(0.0155)",="(0.0160)",="(0.0152)",="(0.0154)",="(0.0155)"

="_mother_edu2",="",="",="0.00644",="0.00426",="0.00902",="0.00581",="0.00646",="0.00634",="0.00855"
="",="",="",="(0.0136)",="(0.0138)",="(0.0133)",="(0.0135)",="(0.0125)",="(0.0131)",="(0.0133)"

="_mother_edu3",="",="",="0.0150",="0.0135",="0.0170",="0.0115",="0.0124",="0.0158",="0.0160"
="",="",="",="(0.0150)",="(0.0152)",="(0.0145)",="(0.0148)",="(0.0139)",="(0.0146)",="(0.0146)"

