	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
			(0.235)			(0.223)			(0.265)			(0.220)			(0.237)			(0.226)			(0.301)			(0.202)			(0.262)			(0.276)			(0.269)			(0.246)			(0.258)			(0.233)			(0.324)			(0.365)			(0.389)			(0.359)			(0.414)			(0.408)			(0.265)
_inc1			-0.425***			-0.352**			-0.488***			-0.101			-0.0858			-0.0111			-0.0466			-0.225			-0.374**			-0.475**			0.107			-0.0233			-0.0692			0.0715			-0.441**			-0.794***			-0.797***			-0.323			0.0873			-0.103			-0.200
			(0.135)			(0.142)			(0.148)			(0.160)			(0.138)			(0.138)			(0.230)			(0.163)			(0.155)			(0.200)			(0.177)			(0.229)			(0.271)			(0.171)			(0.195)			(0.228)			(0.255)			(0.255)			(0.240)			(0.235)			(0.231)
_inc2			-0.429***			-0.365***			-0.302**			-0.217			0.211			0.166			-0.171			-0.302**			-0.347***			-0.373**			0.0158			0.0973			-0.0956			-0.0467			-0.439**			-0.871***			-0.875***			-0.335			0.327			-0.0730			0.0437
			(0.126)			(0.129)			(0.129)			(0.157)			(0.134)			(0.134)			(0.204)			(0.126)			(0.131)			(0.164)			(0.152)			(0.188)			(0.216)			(0.144)			(0.197)			(0.214)			(0.245)			(0.247)			(0.223)			(0.226)			(0.216)
_inc3			-0.199**			-0.215**			-0.0641			-0.150			0.258**			0.0865			-0.0317			-0.236**			-0.428***			-0.303**			-0.0839			0.219*			-0.0762			0.00967			-0.118			-0.570***			-0.701***			-0.137			0.387*			-2.16e-05			0.0863
			(0.0988)			(0.100)			(0.0992)			(0.108)			(0.104)			(0.0989)			(0.126)			(0.108)			(0.108)			(0.124)			(0.121)			(0.125)			(0.120)			(0.124)			(0.194)			(0.189)			(0.206)			(0.213)			(0.223)			(0.218)			(0.216)
_inc4			-0.172**			-0.197**			-0.227**			-0.143			0.200**			0.145			0.0401			-0.130			-0.273***			-0.284**			-0.0447			0.121			-0.0312			0.105			-0.232			-0.645***			-0.590***			-0.271			0.113			-0.106			0.101
			(0.0846)			(0.0960)			(0.0952)			(0.101)			(0.100)			(0.0888)			(0.119)			(0.100)			(0.102)			(0.113)			(0.115)			(0.118)			(0.109)			(0.128)			(0.208)			(0.246)			(0.218)			(0.209)			(0.227)			(0.215)			(0.227)
Constant	-1.385	-6.187	-8.879	3.982	0.376	1.188	19.95	15.95	16.26	-8.837	-13.12	-12.58	-0.612	0.696	-0.724	-8.679	-6.196	-7.659	6.447	1.668	2.724	4.557	0.551	0.0511	-5.975	-5.991	-5.345	15.48	15.25	17.27	-19.78	-21.34	-22.64	16.22	14.84	16.87	-14.57	-15.91	-17.32	20.33	20.52	21.04	20.08	10.69	13.86	-44.00*	-48.97**	-51.15**	17.04	12.78	26.58	-77.96***	-82.63***	-81.12***	14.83	9.622	12.88	-9.130	-12.98	-13.32	-6.293	-9.506	-7.064
	(15.76)	(15.88)	(15.00)	(15.35)	(15.05)	(14.21)	(12.54)	(12.76)	(12.63)	(14.60)	(14.68)	(14.50)	(14.73)	(14.95)	(13.53)	(13.33)	(13.26)	(12.91)	(18.15)	(17.72)	(17.48)	(14.53)	(14.95)	(13.96)	(16.72)	(16.78)	(15.44)	(15.75)	(16.13)	(15.56)	(16.08)	(16.88)	(15.77)	(18.53)	(18.22)	(17.10)	(15.52)	(15.83)	(14.88)	(18.60)	(19.10)	(18.91)	(14.53)	(14.94)	(15.01)	(22.62)	(22.69)	(22.98)	(21.72)	(21.35)	(19.92)	(24.49)	(23.90)	(23.45)	(21.33)	(20.70)	(20.09)	(19.12)	(19.36)	(19.37)	(29.38)	(27.60)	(27.66)
																																																															
Observations	1,251	1,251	1,251	1,165	1,165	1,165	1,150	1,150	1,150	1,159	1,159	1,159	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,227	1,227	1,227	1,134	1,134	1,134	1,114	1,114	1,114	1,124	1,124	1,124	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158	558	558	558	500	500	500	497	497	497	500	500	500	515	515	515	515	515	515	515	515	515
R-squared	0.122	0.129	0.154	0.096	0.104	0.151	0.126	0.139	0.189	0.028	0.024	0.061	0.066	0.083	0.117	0.089	0.097	0.110	0.017	0.027	0.025	0.055	0.022	0.122	0.021	0.024	0.135	0.070	0.034	0.151	0.040	0.015	0.077			0.037	0.028	0.072	0.072	0.009	0.038	0.033	0.164	0.177	0.219	0.147	0.159	0.201	0.250	0.268	0.335	0.142	0.148	0.160	0.070	0.077	0.156	0.051	0.071	0.074	0.156	0.167	0.188
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
