	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
			(0.249)			(0.207)			(0.195)			(0.180)			(0.212)			(0.268)			(0.334)			(0.287)			(0.229)			(0.221)			(0.184)			(0.228)			(0.219)			(0.342)			(0.391)			(0.432)			(0.418)			(0.546)			(0.404)			(0.322)			(0.529)
_inc1			-0.454***			-0.00555			-0.200*			-0.0428			-0.137			0.173			-0.325**			-0.109			-0.142			-0.531***			-0.320**			-0.491***			-0.0107			-0.175			-0.274			-0.349			-0.214			-0.274			-0.402*			0.111			-0.188
			(0.117)			(0.121)			(0.111)			(0.137)			(0.136)			(0.148)			(0.134)			(0.143)			(0.154)			(0.125)			(0.130)			(0.157)			(0.151)			(0.198)			(0.227)			(0.214)			(0.193)			(0.300)			(0.222)			(0.266)			(0.331)
_inc2			-0.341***			-0.0196			-0.209**			-0.0944			-0.111			0.186			-0.312***			-0.121			-0.141			-0.449***			-0.330***			-0.172			-0.0452			-0.376**			-0.345*			-0.0728			-0.187			-0.144			-0.232			0.0164			-0.290
			(0.106)			(0.105)			(0.0972)			(0.131)			(0.120)			(0.120)			(0.119)			(0.123)			(0.130)			(0.109)			(0.122)			(0.140)			(0.127)			(0.158)			(0.198)			(0.203)			(0.189)			(0.268)			(0.213)			(0.248)			(0.308)
_inc3			-0.129			-0.0278			-0.0903			0.0762			-0.0282			0.0416			-0.147			-0.125			-0.283***			-0.191**			-0.208**			-0.0977			-0.0278			-0.200			-0.229			0.129			0.249			-0.119			-0.445**			-0.126			-0.176
			(0.0908)			(0.0818)			(0.0815)			(0.0993)			(0.106)			(0.104)			(0.129)			(0.105)			(0.108)			(0.0957)			(0.104)			(0.118)			(0.116)			(0.151)			(0.204)			(0.231)			(0.208)			(0.285)			(0.224)			(0.265)			(0.320)
_inc4			-0.0819			0.0247			0.0392			0.131			-0.0207			0.0468			-0.0820			-0.0449			-0.217**			-0.124			-0.146			-0.00191			-0.0294			-0.0243			-0.375*			0.0814			0.0124			-0.211			-0.449*			-0.439*			0.0402
			(0.0679)			(0.0674)			(0.0638)			(0.0835)			(0.0900)			(0.0870)			(0.0945)			(0.100)			(0.0985)			(0.0814)			(0.0936)			(0.115)			(0.103)			(0.142)			(0.225)			(0.226)			(0.204)			(0.286)			(0.234)			(0.253)			(0.358)
Constant	9.953	8.358	4.541	0.812	0.202	-1.527	-3.457	-3.512	-5.894	8.168	8.589	6.114	0.434	0.114	0.686	20.72**	19.88*	19.55*	0.257	-0.349	-3.449	14.68	15.82	11.95	30.88	32.39	27.57	36.72***	39.39***	34.42***	19.61	21.75*	18.29	-12.24	-13.91	-17.90	-10.26	-10.80	-10.05	-2.098	-1.374	-0.353	46.09**	49.77**	51.11**	53.64**	54.70**	52.53**	0.0630	2.195	3.340	55.34**	59.45**	58.46*	-32.76	-34.70	-34.00	2.457	2.959	1.052	-14.96	-13.31	-5.338
	(15.51)	(15.44)	(15.51)	(11.22)	(11.17)	(11.31)	(9.628)	(9.568)	(9.527)	(11.65)	(11.58)	(11.77)	(11.22)	(11.08)	(11.05)	(10.29)	(10.23)	(10.43)	(11.76)	(11.61)	(11.23)	(14.59)	(14.22)	(14.13)	(20.87)	(20.52)	(20.35)	(12.36)	(12.11)	(12.20)	(12.25)	(11.99)	(12.05)	(15.49)	(15.66)	(15.03)	(14.15)	(14.21)	(13.99)	(16.22)	(16.23)	(16.47)	(22.64)	(23.57)	(22.94)	(23.51)	(22.74)	(22.39)	(17.52)	(17.92)	(16.51)	(27.84)	(29.79)	(31.33)	(26.45)	(27.23)	(27.58)	(20.49)	(19.99)	(20.65)	(38.66)	(38.72)	(39.67)
																																																															
Observations	1,556	1,556	1,556	1,476	1,476	1,476	1,455	1,455	1,455	1,471	1,471	1,471	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,097	1,097	1,097	1,032	1,032	1,032	1,017	1,017	1,017	1,028	1,028	1,028	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042	445	445	445	401	401	401	393	393	393	397	397	397	404	404	404	404	404	404	404	404	404
R-squared	0.035	0.038	0.088	0.059	0.066	0.086	0.112	0.116	0.146	0.009	0.023	0.054	0.047	0.054	0.064	0.026	0.024	0.031	0.026	0.026	0.034	0.002	0.034	0.068				0.175	0.188	0.212	0.133	0.155	0.174	0.086	0.089	0.117	0.123	0.125	0.129	0.031	0.030	0.034	0.164	0.187	0.232	0.202	0.245	0.268	0.206	0.270	0.319				0.129	0.107	0.164	0.125	0.109	0.123	0.128	0.131	0.126
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
