	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(0.871)	(0.871)			(0.279)	(0.279)			(2.974)	(2.974)			(1.712)	(1.712)			(0.207)	(0.207)			(0.162)	(0.162)			(0.0340)	(0.0340)			(1.005)	(1.005)			(0.290)	(0.289)			(3.368)	(3.361)			(1.975)	(1.970)			(0.235)	(0.236)			(0.195)	(0.194)			(0.0375)	(0.0372)
height		12.48***	10.53**	10.53**		1.250	0.337	0.337		25.91*	16.31	16.31		16.19*	14.05	14.05		-0.415	-0.389	-0.389		-0.443	-0.317	-0.317		0.407***	0.455***	0.455***		6.243	2.839	3.198		0.137	-0.484	-0.637		19.60	10.99	10.04		8.268	4.577	3.113		1.811*	1.721*	1.899*		1.700**	1.769**	2.030**		-0.0594	-0.0332	0.00261
		(4.591)	(4.506)	(4.506)		(1.448)	(1.420)	(1.420)		(15.43)	(14.92)	(14.92)		(9.009)	(8.848)	(8.848)		(1.022)	(0.997)	(0.997)		(0.839)	(0.841)	(0.841)		(0.153)	(0.153)	(0.153)		(4.985)	(4.888)	(4.909)		(1.486)	(1.470)	(1.469)		(15.88)	(15.87)	(15.91)		(9.030)	(8.891)	(8.917)		(1.016)	(1.009)	(1.015)		(0.842)	(0.838)	(0.843)		(0.152)	(0.153)	(0.157)
daily_cig_before_preg		-0.0535	0.0121	0.0121		-0.0210	0.000584	0.000584		-0.354**	-0.0699	-0.0699		0.0845	0.177**	0.177**		-0.0110	-0.0122	-0.0122		0.00163	-0.00302	-0.00302		0.000561	0.000203	0.000203		-0.0361	0.0392	0.0355		-0.00700	0.00820	0.00995		-0.406***	-0.163	-0.151		-0.0510	4.11e-05	0.0170		0.00381	0.00430	0.00219		0.0114	0.00851	0.00543		0.00337**	0.00385**	0.00343**
		(0.0457)	(0.0479)	(0.0479)		(0.0130)	(0.0125)	(0.0125)		(0.160)	(0.162)	(0.162)		(0.0838)	(0.0852)	(0.0852)		(0.00929)	(0.00953)	(0.00953)		(0.00815)	(0.00865)	(0.00865)		(0.00157)	(0.00170)	(0.00170)		(0.0499)	(0.0508)	(0.0514)		(0.0141)	(0.0137)	(0.0139)		(0.152)	(0.148)	(0.149)		(0.0860)	(0.0877)	(0.0889)		(0.00912)	(0.00940)	(0.00943)		(0.00783)	(0.00809)	(0.00821)		(0.00166)	(0.00172)	(0.00170)
weekly_alcohol_b_preg		0.0351	0.0447	0.0447		0.00131	0.00341	0.00341		0.177	0.235	0.235		0.0103	0.0267	0.0267		-0.0258**	-0.0261**	-0.0261**		-0.00872	-0.0102	-0.0102		-0.00178	-0.00167	-0.00167		0.0824**	0.0740**	0.0748**		-0.000920	-0.00402	-0.00452		-0.0427	-0.0709	-0.0740		0.0859	0.0720	0.0673		-0.0125**	-0.0102*	-0.00951		-0.00643	-0.00634	-0.00539		0.000205	6.60e-05	0.000196
		(0.0551)	(0.0555)	(0.0555)		(0.0160)	(0.0156)	(0.0156)		(0.183)	(0.180)	(0.180)		(0.128)	(0.127)	(0.127)		(0.0115)	(0.0113)	(0.0113)		(0.00894)	(0.00896)	(0.00896)		(0.00165)	(0.00165)	(0.00165)		(0.0353)	(0.0354)	(0.0354)		(0.0112)	(0.0114)	(0.0114)		(0.120)	(0.116)	(0.117)		(0.0707)	(0.0702)	(0.0713)		(0.00628)	(0.00615)	(0.00626)		(0.00527)	(0.00545)	(0.00555)		(0.00161)	(0.00155)	(0.00155)
complications_during_preg		-0.167	-0.0895	-0.0895		-0.339*	-0.293	-0.293		-0.727	-0.00655	-0.00655		-0.900	-0.699	-0.699		0.263*	0.257*	0.257*		0.269**	0.267**	0.267**		-0.00319	-0.00486	-0.00486		-0.198	-0.199	-0.210		-0.149	-0.0909	-0.0823		-1.128	-0.578	-0.530		-2.313*	-2.264*	-2.187*		0.111	0.0898	0.0807		0.219*	0.222*	0.209*		0.0104	0.00861	0.00678
		(0.625)	(0.614)	(0.614)		(0.186)	(0.182)	(0.182)		(2.098)	(2.034)	(2.034)		(1.137)	(1.137)	(1.137)		(0.135)	(0.134)	(0.134)		(0.116)	(0.116)	(0.116)		(0.0224)	(0.0227)	(0.0227)		(0.677)	(0.657)	(0.658)		(0.199)	(0.197)	(0.196)		(2.147)	(2.106)	(2.107)		(1.253)	(1.249)	(1.247)		(0.141)	(0.141)	(0.141)		(0.117)	(0.117)	(0.116)		(0.0214)	(0.0211)	(0.0212)
Constant	85.26	37.45	36.85	36.85	21.96	8.569	15.08	15.08	503.9	414.7	331.7	331.7	-245.6	-328.6	-307.0	-307.0	-5.774	1.286	-1.802	-1.802	-17.38	-11.07	-13.25	-13.25	5.292	3.666	4.193	4.193	85.01	47.03	46.07	40.12	-30.10	-31.71	-18.79	-16.50	380.5	323.7	455.2	468.4	-256.1	-306.8	-293.9	-275.3	46.13	41.88	41.66	42.89	-18.84	-22.43	-25.27	-26.53	5.221	5.399	5.475	4.997
	(131.8)	(134.1)	(126.8)	(126.8)	(43.87)	(43.23)	(41.01)	(41.01)	(381.0)	(388.5)	(463.0)	(463.0)	(254.6)	(258.7)	(262.5)	(262.5)	(35.38)	(36.28)	(33.32)	(33.32)	(27.45)	(27.56)	(27.20)	(27.20)	(5.684)	(5.658)	(5.636)	(5.636)	(148.3)	(151.1)	(141.4)	(141.2)	(51.49)	(51.84)	(50.05)	(50.02)	(475.7)	(479.6)	(468.4)	(470.6)	(245.0)	(252.6)	(249.1)	(249.7)	(30.32)	(30.90)	(30.87)	(30.85)	(22.56)	(22.91)	(22.84)	(22.51)	(5.298)	(5.562)	(5.594)	(5.617)
																																																								
Observations	1,251	1,251	1,251	1,251	1,165	1,165	1,165	1,165	1,150	1,150	1,150	1,150	1,159	1,159	1,159	1,159	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,227	1,227	1,227	1,227	1,134	1,134	1,134	1,134	1,114	1,114	1,114	1,114	1,124	1,124	1,124	1,124	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158
R-squared	0.131	0.139	0.173	0.173	0.103	0.110	0.156	0.156	0.140	0.149	0.195	0.195	0.098	0.104	0.130	0.130	0.074	0.085	0.118	0.118	0.092	0.098	0.111	0.111	0.063	0.070	0.081	0.081	0.122	0.128	0.180	0.180	0.124	0.125	0.162	0.163	0.184	0.193	0.241	0.241	0.100	0.107	0.127	0.130	0.079	0.086	0.101	0.104	0.094	0.105	0.110	0.119	0.070	0.077	0.088	0.094
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
