	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																																
		(0.0634)	(0.0617)	(0.0617)		(0.0178)	(0.0171)	(0.0171)		(0.200)	(0.191)	(0.191)		(0.107)	(0.104)	(0.104)		(0.0777)	(0.0766)	(0.0769)		(0.0215)	(0.0212)	(0.0211)		(0.246)	(0.240)	(0.241)		(0.134)	(0.128)	(0.127)
daily_cig_before_preg		-0.0188	0.0411	0.0411		-0.0149	0.00415	0.00415		-0.173	0.0487	0.0487		0.00279	0.114*	0.114*		-0.0276	0.0636	0.0540		-0.00604	0.0133	0.0151		-0.299**	-0.0457	-0.0425		-0.0282	0.0734	0.0886
		(0.0330)	(0.0340)	(0.0340)		(0.00952)	(0.00922)	(0.00922)		(0.121)	(0.118)	(0.118)		(0.0574)	(0.0586)	(0.0586)		(0.0408)	(0.0404)	(0.0410)		(0.0124)	(0.0123)	(0.0124)		(0.138)	(0.139)	(0.139)		(0.0715)	(0.0725)	(0.0731)
weekly_alcohol_b_preg		-0.0100	-0.0127	-0.0127		0.00930	0.0109	0.0109		-0.0349	-0.00666	-0.00666		-0.0257	-0.00325	-0.00325		0.0433	0.0458	0.0474		0.0111	0.00920	0.00891		0.00115	-0.0314	-0.0319		0.0474	0.0377	0.0352
		(0.0383)	(0.0365)	(0.0365)		(0.00904)	(0.00909)	(0.00909)		(0.130)	(0.124)	(0.124)		(0.0905)	(0.0863)	(0.0863)		(0.0296)	(0.0286)	(0.0293)		(0.00936)	(0.00977)	(0.00989)		(0.114)	(0.117)	(0.117)		(0.0847)	(0.0798)	(0.0798)
complications_during_preg		-0.584	-0.604	-0.604		-0.108	-0.113	-0.113		-0.0908	-0.361	-0.361		-0.645	-0.730	-0.730		-0.164	-0.224	-0.197		-0.0852	-0.0782	-0.0816		-0.942	-0.933	-0.941		-1.799	-2.029*	-2.066*
		(0.512)	(0.503)	(0.503)		(0.147)	(0.143)	(0.143)		(1.743)	(1.694)	(1.694)		(0.914)	(0.885)	(0.885)		(0.641)	(0.618)	(0.619)		(0.181)	(0.178)	(0.178)		(2.002)	(1.985)	(1.985)		(1.123)	(1.086)	(1.084)
miss_height		13.14**	8.697	8.697		1.959	0.252	0.252		82.48***	65.40***	65.40***		24.44*	14.86	14.86		17.18**	9.198	9.865		1.590	-0.584	-0.762		81.98***	61.04**	60.74**		17.05	6.168	4.742
		(6.538)	(6.340)	(6.340)		(1.878)	(1.832)	(1.832)		(24.43)	(23.39)	(23.39)		(12.92)	(12.15)	(12.15)		(8.183)	(7.484)	(7.477)		(2.311)	(2.245)	(2.238)		(27.52)	(26.72)	(26.85)		(15.07)	(14.05)	(14.11)
miss_bmi		-6.239***	-5.355***	-5.355***		-1.711***	-1.443**	-1.443**		-20.38***	-17.46***	-17.46***		-13.24***	-12.19***	-12.19***		-3.073	-1.803	-1.645		-1.308*	-0.947	-0.938		-18.25**	-14.59*	-14.57*		-10.60**	-9.079*	-8.994*
		(2.015)	(1.947)	(1.947)		(0.622)	(0.600)	(0.600)		(6.743)	(6.374)	(6.374)		(4.555)	(4.312)	(4.312)		(2.367)	(2.272)	(2.291)		(0.713)	(0.708)	(0.708)		(7.972)	(7.730)	(7.737)		(4.926)	(4.714)	(4.705)
miss_daily_cig_before_preg		-8.280***	-8.982***	-8.982***		-0.826*	-1.533***	-1.533***		10.18*	6.145	6.145		-0.0942	-3.261	-3.261		1.104	1.655	1.677		3.238***	2.990**	2.991**		4.432	3.523	3.526		9.290	8.473	8.490
		(1.654)	(1.442)	(1.442)		(0.454)	(0.481)	(0.481)		(5.770)	(5.922)	(5.922)		(2.921)	(2.974)	(2.974)		(2.454)	(2.529)	(2.811)		(1.095)	(1.271)	(1.318)		(12.91)	(11.62)	(11.69)		(7.463)	(7.782)	(8.036)
miss_weekly_alcohol_b_preg		4.969	5.199	5.199		0.981	1.440	1.440		-18.37	-18.38	-18.38		-0.613	1.803	1.803		0	0	0		0	0	0		0	0	0		0	0	0
