	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
miss_weekly_alcohol_b_preg		2.773	4.036	4.036		0.859	1.162	1.162		-28.56***	-23.10**	-23.10**		6.061	8.792	8.792		0	0	0		0	0	0		0	0	0		0	0	0
		(2.826)	(2.777)	(2.777)		(1.225)	(1.186)	(1.186)		(10.08)	(9.273)	(9.273)		(6.749)	(6.895)	(6.895)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	208.0*	205.1**	195.2**	195.2**	53.35***	52.16***	50.05***	50.05***	890.7***	866.1***	810.9***	810.9***	364.8**	350.3**	322.8**	322.8**	287.4**	276.5**	275.2**	271.7**	45.23	43.72	37.41	37.53	743.3*	704.8*	661.3*	657.1*	140.0	124.1	122.2	121.9
	(106.8)	(102.0)	(99.20)	(99.20)	(17.13)	(17.06)	(16.66)	(16.66)	(335.3)	(321.6)	(308.8)	(308.8)	(150.5)	(149.4)	(145.5)	(145.5)	(113.8)	(108.7)	(109.2)	(109.8)	(30.35)	(30.32)	(29.57)	(29.59)	(397.2)	(373.5)	(376.0)	(377.5)	(180.8)	(177.6)	(167.9)	(167.4)
																																
Observations	3,664	3,664	3,664	3,664	3,394	3,394	3,394	3,394	3,352	3,352	3,352	3,352	3,384	3,384	3,384	3,384	2,793	2,793	2,793	2,793	2,561	2,561	2,561	2,561	2,524	2,524	2,524	2,524	2,550	2,550	2,550	2,550
R-squared	0.108	0.117	0.146	0.146	0.109	0.110	0.144	0.144	0.136	0.141	0.179	0.179	0.112	0.117	0.155	0.155	0.113	0.122	0.164	0.166	0.110	0.113	0.147	0.148	0.162	0.171	0.212	0.214	0.120	0.126	0.156	0.157
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
