	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(3.178)	(3.178)			(1.200)	(1.200)			(9.857)	(9.857)			(9.117)	(9.117)			(0.770)	(0.770)			(0.759)	(0.759)			(0.149)	(0.149)			(3.027)	(3.026)			(1.064)	(1.070)			(12.41)	(12.42)			(6.458)	(6.548)			(0.664)	(0.672)			(0.573)	(0.578)			(0.0510)	(0.0518)
_inc2			-1.287	-1.287			-0.502*	-0.502*			-6.481**	-6.481**			-3.751**	-3.751**			-0.321*	-0.321*			-0.192	-0.192			0.0279	0.0279			-2.919***	-3.059***			-0.614*	-0.587*			-10.05***	-9.978***			-1.254	-1.011			0.0987	0.0759			0.198	0.159			-0.0359	-0.0401
			(0.906)	(0.906)			(0.262)	(0.262)			(3.097)	(3.097)			(1.576)	(1.576)			(0.187)	(0.187)			(0.160)	(0.160)			(0.0318)	(0.0318)			(1.014)	(1.021)			(0.319)	(0.320)			(3.612)	(3.612)			(1.950)	(1.945)			(0.222)	(0.222)			(0.179)	(0.179)			(0.0359)	(0.0359)
_inc3			-1.466*	-1.466*			-0.464*	-0.464*			-5.531**	-5.531**			-3.844**	-3.844**			-0.125	-0.125			-0.157	-0.157			0.00762	0.00762			-3.245***	-3.360***			-0.530*	-0.509*			-8.406**	-8.349**			-2.712	-2.522			0.143	0.125			0.0249	-0.00693			-0.0418	-0.0452
			(0.832)	(0.832)			(0.247)	(0.247)			(2.747)	(2.747)			(1.572)	(1.572)			(0.182)	(0.182)			(0.154)	(0.154)			(0.0278)	(0.0278)			(0.946)	(0.952)			(0.308)	(0.308)			(3.296)	(3.299)			(1.906)	(1.894)			(0.215)	(0.215)			(0.167)	(0.165)			(0.0310)	(0.0310)
_inc4			-0.0454	-0.0454			-0.0807	-0.0807			0.811	0.811			-0.665	-0.665			0.0445	0.0445			-0.225*	-0.225*			-0.00811	-0.00811			-2.165**	-2.202**			-0.399	-0.397			-3.283	-3.277			-0.957	-0.930			0.320	0.318			-0.0582	-0.0623			-0.0240	-0.0244
			(0.746)	(0.746)			(0.207)	(0.207)			(2.311)	(2.311)			(1.286)	(1.286)			(0.159)	(0.159)			(0.131)	(0.131)			(0.0238)	(0.0238)			(0.894)	(0.898)			(0.284)	(0.283)			(2.999)	(2.999)			(1.713)	(1.706)			(0.207)	(0.205)			(0.163)	(0.160)			(0.0323)	(0.0322)
_inc6			2.031***	2.031***			0.610***	0.610***			4.437**	4.437**			1.483	1.483			-0.390**	-0.390**			-0.275**	-0.275**			0.0127	0.0127			1.263	1.212			0.757***	0.765***			7.197**	7.218**			1.355	1.417			-0.230	-0.236			0.0361	0.0242			-0.0156	-0.0168
			(0.671)	(0.671)			(0.203)	(0.203)			(2.214)	(2.214)			(1.288)	(1.288)			(0.156)	(0.156)			(0.126)	(0.126)			(0.0246)	(0.0246)			(0.920)	(0.917)			(0.266)	(0.266)			(3.110)	(3.108)			(1.831)	(1.828)			(0.215)	(0.216)			(0.176)	(0.175)			(0.0343)	(0.0342)
height		7.781**	5.314	5.314		0.786	-0.0877	-0.0877		30.78**	21.52*	21.52*		11.24*	6.359	6.359		-0.991	-0.911	-0.911		-0.550	-0.458	-0.458		0.113	0.109	0.109		12.40***	7.514*	7.813*		0.600	-0.415	-0.479		33.14**	22.13	21.96		7.394	1.701	1.168		1.277	1.296	1.348		0.953	1.047	1.138		-0.0765	-0.100	-0.0907
