	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(3.900)	(3.900)			(0.763)	(0.763)			(6.467)	(6.467)			(5.423)	(5.423)			(0.442)	(0.442)			(0.309)	(0.309)			(0.153)	(0.153)			(2.668)	(2.651)			(1.099)	(1.100)			(9.942)	(9.444)			(6.915)	(6.891)			(0.591)	(0.651)			(0.441)	(0.422)			(0.201)	(0.201)
_inc2			-4.407***	-4.407***			-0.242	-0.242			-9.608***	-9.608***			-4.561**	-4.561**			-0.194	-0.194			0.255	0.255			-0.0566*	-0.0566*			-2.299*	-2.327**			-0.484	-0.482			-10.77***	-10.35***			-2.899	-2.988			-0.545**	-0.516**			0.233	0.272			-0.0113	-0.0112
			(1.067)	(1.067)			(0.302)	(0.302)			(2.785)	(2.785)			(1.924)	(1.924)			(0.224)	(0.224)			(0.217)	(0.217)			(0.0297)	(0.0297)			(1.179)	(1.178)			(0.337)	(0.338)			(3.295)	(3.275)			(1.985)	(1.992)			(0.254)	(0.254)			(0.221)	(0.219)			(0.0394)	(0.0393)
_inc3			-2.567***	-2.567***			0.00458	0.00458			-7.165***	-7.165***			-4.283**	-4.283**			-0.330	-0.330			0.107	0.107			-0.0509*	-0.0509*			-2.316**	-2.332**			-0.497*	-0.496*			-9.755***	-9.457***			-3.058*	-3.124*			-0.220	-0.200			0.0994	0.127			-0.0702**	-0.0702**
			(0.938)	(0.938)			(0.264)	(0.264)			(2.514)	(2.514)			(1.709)	(1.709)			(0.205)	(0.205)			(0.186)	(0.186)			(0.0273)	(0.0273)			(1.047)	(1.046)			(0.279)	(0.279)			(2.948)	(2.927)			(1.602)	(1.596)			(0.233)	(0.234)			(0.193)	(0.193)			(0.0336)	(0.0336)
_inc4			-0.739	-0.739			-0.273	-0.273			-2.992	-2.992			-1.149	-1.149			0.0589	0.0589			0.00761	0.00761			-0.0104	-0.0104			-1.183	-1.183			-0.361	-0.362			-2.792	-2.885			-0.782	-0.763			-0.0355	-0.0418			0.0817	0.0732			-0.0429	-0.0429
			(0.818)	(0.818)			(0.203)	(0.203)			(2.044)	(2.044)			(1.291)	(1.291)			(0.185)	(0.185)			(0.161)	(0.161)			(0.0284)	(0.0284)			(0.992)	(0.994)			(0.267)	(0.267)			(2.939)	(2.908)			(1.562)	(1.567)			(0.218)	(0.218)			(0.186)	(0.186)			(0.0372)	(0.0372)
_inc6			0.861	0.861			-0.0480	-0.0480			-0.727	-0.727			-1.563	-1.563			0.104	0.104			0.000694	0.000694			0.0241	0.0241			-0.0112	-0.0209			0.435	0.435			4.148*	4.254*			2.578	2.558			0.00550	0.0138			-0.00204	0.00905			0.000736	0.000760
			(0.666)	(0.666)			(0.188)	(0.188)			(1.925)	(1.925)			(1.361)	(1.361)			(0.180)	(0.180)			(0.154)	(0.154)			(0.0259)	(0.0259)			(0.955)	(0.956)			(0.264)	(0.264)			(2.473)	(2.470)			(1.633)	(1.633)			(0.236)	(0.235)			(0.188)	(0.188)			(0.0407)	(0.0408)
height		0.0605	-1.348	-1.348		0.754	0.549	0.549		5.730	2.143	2.143		-3.217	-5.060	-5.060		1.085	0.990	0.990		1.101	1.185	1.185		-0.00351	-0.0226	-0.0226		-0.352	-1.551	-1.526		0.0357	-0.145	-0.145		4.115	0.257	0.0798		7.887	6.568	6.600		0.511	0.406	0.388		0.263	0.295	0.271		-0.127	-0.144	-0.144
