	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(0.828)	(0.828)			(0.261)	(0.261)			(2.436)	(2.436)			(1.727)	(1.727)			(0.238)	(0.238)			(0.202)	(0.202)			(0.0316)	(0.0316)			(0.971)	(0.971)			(0.259)	(0.260)			(2.567)	(2.554)			(1.728)	(1.730)			(0.238)	(0.238)			(0.189)	(0.189)			(0.0380)	(0.0379)
height		5.160	5.008	5.008		0.475	0.491	0.491		4.860	3.234	3.234		-4.435	-3.412	-3.412		2.052*	2.168**	2.168**		0.0242	0.146	0.146		-0.00482	-0.0215	-0.0215		0.989	0.156	0.166		-0.699	-0.972	-0.960		-10.90	-14.81	-14.45		6.686	5.775	5.785		1.173	1.142	1.164		-0.00680	0.0217	0.0452		-0.0854	-0.0924	-0.0965
		(3.997)	(3.826)	(3.826)		(1.329)	(1.277)	(1.277)		(11.04)	(10.91)	(10.91)		(7.475)	(7.520)	(7.520)		(1.109)	(1.100)	(1.100)		(0.947)	(0.949)	(0.949)		(0.125)	(0.124)	(0.124)		(4.560)	(4.538)	(4.539)		(1.396)	(1.358)	(1.353)		(12.57)	(12.39)	(12.23)		(7.555)	(7.472)	(7.479)		(1.068)	(1.062)	(1.061)		(0.925)	(0.924)	(0.925)		(0.151)	(0.151)	(0.150)
daily_cig_before_preg		-0.0860*	-0.0259	-0.0259		-0.0123	-0.000575	-0.000575		-0.207*	-0.0491	-0.0491		-0.204***	-0.120	-0.120		-0.00285	-0.00439	-0.00439		0.0118	0.0106	0.0106		0.000607	0.00132	0.00132		-0.168***	-0.123**	-0.124**		-0.0335**	-0.0195	-0.0213		-0.371***	-0.225*	-0.283**		-0.291***	-0.209**	-0.211**		0.00658	0.0123	0.00926		0.0160*	0.0182*	0.0150		-0.000753	-0.000359	0.000195
		(0.0451)	(0.0455)	(0.0455)		(0.0137)	(0.0142)	(0.0142)		(0.118)	(0.120)	(0.120)		(0.0782)	(0.0810)	(0.0810)		(0.0107)	(0.0111)	(0.0111)		(0.00972)	(0.0101)	(0.0101)		(0.00150)	(0.00151)	(0.00151)		(0.0497)	(0.0508)	(0.0508)		(0.0140)	(0.0140)	(0.0140)		(0.132)	(0.132)	(0.131)		(0.0837)	(0.0872)	(0.0879)		(0.0109)	(0.0109)	(0.0110)		(0.00959)	(0.00991)	(0.0101)		(0.00129)	(0.00130)	(0.00131)
weekly_alcohol_b_preg		-0.0542	-0.0582	-0.0582		-0.0113	-0.00989	-0.00989		-0.115	-0.104	-0.104		-0.0788	-0.0746	-0.0746		0.0121	0.0119	0.0119		-0.00119	-0.00259	-0.00259		0.000802	0.000846	0.000846		-0.00872	-0.00854	-0.00849		-0.00544	-0.00711	-0.00671		-0.251**	-0.281**	-0.268**		-0.00319	-0.00883	-0.00834		0.00273	0.00284	0.00354		-0.00128	-0.000668	7.58e-05		0.000231	0.000247	0.000118
		(0.0406)	(0.0423)	(0.0423)		(0.0145)	(0.0139)	(0.0139)		(0.126)	(0.120)	(0.120)		(0.0780)	(0.0745)	(0.0745)		(0.01000)	(0.0101)	(0.0101)		(0.0106)	(0.0110)	(0.0110)		(0.00171)	(0.00166)	(0.00166)		(0.0355)	(0.0351)	(0.0351)		(0.0107)	(0.0104)	(0.0105)		(0.124)	(0.113)	(0.112)		(0.0638)	(0.0609)	(0.0611)		(0.00964)	(0.00931)	(0.00922)		(0.0106)	(0.0107)	(0.0105)		(0.00153)	(0.00150)	(0.00153)
complications_during_preg		-0.640	-0.613	-0.613		-0.0134	-0.0169	-0.0169		-1.828	-1.574	-1.574		-1.100	-1.224	-1.224		0.00744	0.000159	0.000159		0.116	0.106	0.106		-0.000173	0.00189	0.00189		-0.0506	-0.191	-0.195		0.118	0.0904	0.0827		-4.196**	-4.377**	-4.628***		0.403	-0.202	-0.211		0.260*	0.263*	0.250*		0.199	0.191	0.177		0.00613	0.0120	0.0145
		(0.621)	(0.596)	(0.596)		(0.183)	(0.182)	(0.182)		(1.805)	(1.763)	(1.763)		(1.154)	(1.130)	(1.130)		(0.151)	(0.152)	(0.152)		(0.131)	(0.132)	(0.132)		(0.0173)	(0.0172)	(0.0172)		(0.629)	(0.619)	(0.619)		(0.180)	(0.178)	(0.179)		(1.810)	(1.791)	(1.789)		(1.083)	(1.057)	(1.055)		(0.147)	(0.149)	(0.149)		(0.130)	(0.130)	(0.131)		(0.0216)	(0.0214)	(0.0213)
Constant	207.0*	207.3*	170.3	170.3	91.07*	90.43*	77.38	77.38	548.7*	547.2*	437.4	437.4	228.4	239.4	188.5	188.5	-13.50	-17.42	-14.56	-14.56	-14.72	-15.04	-15.78	-15.78	3.186	3.169	2.414	2.414	269.2*	299.4**	256.3*	256.8*	116.7**	121.3**	106.3**	105.7**	1,434***	1,486***	1,368***	1,399***	292.2	310.4	232.7	234.0	-69.67*	-74.23**	-76.28**	-73.18**	-59.52*	-61.78**	-62.21**	-59.79*	9.014	9.364	9.850	9.520
	(121.3)	(124.4)	(125.8)	(125.8)	(50.03)	(50.63)	(52.51)	(52.51)	(322.5)	(324.4)	(321.0)	(321.0)	(294.8)	(297.0)	(304.0)	(304.0)	(30.29)	(30.38)	(31.20)	(31.20)	(26.03)	(26.29)	(26.09)	(26.09)	(3.211)	(3.205)	(3.213)	(3.213)	(146.3)	(145.4)	(143.7)	(143.4)	(47.81)	(48.18)	(48.34)	(48.32)	(484.8)	(483.8)	(468.2)	(466.2)	(257.4)	(256.3)	(254.6)	(254.4)	(35.64)	(35.98)	(34.62)	(34.90)	(31.28)	(31.30)	(30.34)	(30.48)	(6.145)	(6.151)	(6.046)	(6.026)
																																																								
Observations	1,142	1,142	1,142	1,142	1,081	1,081	1,081	1,081	1,064	1,064	1,064	1,064	1,074	1,074	1,074	1,074	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,145	1,145	1,145	1,145	1,079	1,079	1,079	1,079	1,066	1,066	1,066	1,066	1,076	1,076	1,076	1,076	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088
R-squared	0.140	0.149	0.198	0.198	0.109	0.111	0.138	0.138	0.182	0.187	0.219	0.219	0.093	0.104	0.134	0.134	0.060	0.066	0.073	0.073	0.073	0.076	0.083	0.083	0.070	0.071	0.086	0.086	0.132	0.148	0.174	0.174	0.169	0.177	0.216	0.217	0.205	0.223	0.261	0.268	0.140	0.156	0.190	0.190	0.097	0.103	0.121	0.124	0.098	0.104	0.113	0.118	0.061	0.062	0.076	0.082
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
